조사회차,단과대학명,학과명,졸업자_남,졸업자_여,건보가입취업자_남,건보가입취업자_여,교내취업자_남,교내취업자_여,해외취업자_남,해외취업자_여,농림어업종사자_남,농림어업종사자_여,개인창작활동종사자_남,개인창작활동종사자_여,1인창사업자_남,1인창사업자_여,프리랜서_남,프리랜서_여,진학자_남,진학자_여,입대자,취업불가능자_남,취업불가능자_여,외국인유학생_남,외국인유학생_여,제외인정자_남,제외인정자_여,기타_남,기타_여,미상_남,미상_여,입학당시기취업자_남,입학당시기취업자_여,국내진학자_전문대학_남,국내진학자_전문대학_여,국내진학자_대학_남,국내진학자_대학_여,국내진학자_대학원_남,국내진학자_대학원_여,국외진학자_전문대학_남,국외진학자_전문대학_여,국외진학자_대학_남,국외진학자_대학_여,국외진학자_대학원_남,국외진학자_대학원_여
2024-12-31,단과대구분없음,응용소프트웨어공학과,90,48,64,30,0,0,0,0,0,0,0,0,2,4,2,5,0,0,1,0,0,0,0,0,0,21,9,0,0,58,27,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,해킹보안학과,65,9,48,4,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,1,0,0,0,9,5,0,0,38,4,0,0,1,0,1,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,광고미디어 MBA,8,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,Finance/Accounting MBA,7,7,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,일본어학부,111,248,75,123,1,0,1,2,0,0,0,0,5,9,1,9,1,5,0,0,0,0,5,0,0,27,95,0,0,64,84,0,0,1,2,0,3,0,0,0,0,0,0
2024-12-31,단과대구분없음,마케팅·경영학과,22,27,16,20,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,테솔전공,8,40,5,16,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,2,2,0,0,1,11,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,동양학대학,동양학과,48,97,23,25,0,0,0,0,0,0,0,0,4,19,2,4,6,6,0,0,0,0,2,0,0,13,41,0,0,14,17,0,1,2,1,4,4,0,0,0,0,0,0
2024-12-31,글로벌문화예술대학,방송연예학과,32,20,2,7,0,0,0,0,0,0,0,0,1,3,12,3,2,0,3,1,0,0,3,0,0,11,4,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,법무행정복지학과,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,지식재산개발정책학,13,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,HYO한국어교육학과,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,HYO성경학과,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,HYO효교육학과,8,12,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0
